타임스탬프,0. Type in your nick name. (*English ONLY & Please type in the same nick name that you have wrote in the past survey),1. Which season do you gain a lot of weight? ,2. Do you eat Breakfast?,"2-1. If you eat breakfast, how often did you eat breakfast in a week? (times)",3. Do you eat Lunch?,4. Do you eat Dinner?,5. Do you eat Late-Night Meal?,6. Which meal have the highest average intake?,"7. If you work out, how often do you work out in a week? (times)","8. On average, how many hours a day do you sleep? (hours)",9. How often do you eat snack? (times)
2018. 7. 4 오전 11:55:39,Gek,Season does not influence,No,0,Yes,Yes,Yes,Late-Night Meal,4,6,0
2018. 7. 4 오전 11:57:00,Pica,Season does not influence,Yes,1,Yes,Yes,No,Dinner,4,6,2
2018. 7. 4 오전 11:58:40,James,Spring,Yes,3,Yes,Yes,No,Lunch,5,6,2
2018. 7. 4 오전 11:58:46,abc,Season does not influence,No,0,Yes,Yes,Yes,Dinner,0,8,3
2018. 7. 4 오전 11:59:13,lightbird,Season does not influence,No,0,Yes,Yes,Yes,Dinner,6,7,1
2018. 7. 4 오후 12:04:41,Jiny,Winter,No,0,Yes,Yes,Yes,Late-Night Meal,1,5,6
2018. 7. 4 오후 12:14:33,shortbread,Summer,No,1,Yes,Yes,No,Lunch,4,6,6
2018. 7. 4 오후 12:25:49,really,Season does not influence,No,0,Yes,Yes,Yes,Dinner,0,8,3
2018. 7. 4 오후 12:29:16,Hyperion,Spring,Yes,3,Yes,Yes,Yes,Dinner,1,5,3
2018. 7. 4 오후 12:43:32,mango,Spring,No,0,Yes,Yes,No,Lunch,3,8,3
2018. 7. 4 오후 12:51:28,Couch potato,Season does not influence,No,0,Yes,Yes,Yes,Dinner,3,8,2
2018. 7. 4 오후 12:58:31,Turtle,Summer,No,0,Yes,Yes,No,Dinner,5,7,6
2018. 7. 4 오후 12:59:50,theSenate,Winter,Yes,4,Yes,Yes,No,Dinner,0,7,2
2018. 7. 4 오후 1:09:49,Jason,Season does not influence,No,0,Yes,Yes,Yes,Dinner,2,8,3
2018. 7. 4 오후 1:10:15,HCS,Winter,No,0,Yes,Yes,No,Dinner,7,8,3
2018. 7. 4 오후 1:17:40,jamie,Season does not influence,No,0,Yes,Yes,No,Dinner,0,8,4
2018. 7. 4 오후 1:18:00,NewZealand,Summer,No,1,Yes,Yes,Yes,Dinner,0,8,5
2018. 7. 4 오후 1:36:14,UnderDog,Winter,Yes,2,Yes,Yes,No,Dinner,0,7,1
2018. 7. 4 오후 1:40:54,bp,Winter,No,0,Yes,Yes,Yes,Dinner,5,8,3
2018. 7. 4 오후 1:52:29,grace,Season does not influence,Yes,6,Yes,Yes,Yes,Dinner,6,6,1
2018. 7. 4 오후 2:10:54,Decoy,Winter,Yes,7,Yes,Yes,Yes,Lunch,4,8,1
2018. 7. 4 오후 2:27:23,SB,Winter,Yes,4,Yes,Yes,Yes,Dinner,4,7,0
2018. 7. 4 오후 3:13:10,Lele,Season does not influence,No,0,Yes,Yes,Yes,Late-Night Meal,0,8,1
2018. 7. 4 오후 3:22:58,joy,Summer,Yes,3,Yes,Yes,Yes,Snack,0,6,4
2018. 7. 4 오후 3:27:43,onetwo,Winter,No,0,Yes,Yes,No,Dinner,3,8,0
2018. 7. 4 오후 3:31:07,iwannagohome,Winter,Yes,3,Yes,Yes,No,Dinner,1,7,3
